Date	SampleID	LibraryID	FullID	Total Reads	Mapped Reads	% Mapped Reads	Genome Size	Genome GC	(Any) Total Bases	% (Any) Total Bases	(Any) GC-Content	(Any) Coverage mean	(Any) Coverage median	(Unambiguous) Total Bases	% (Unambiguous) Total Bases	(Unambiguous) GC-Content	(Unambiguous) Coverage mean	(Unambiguous) Coverage median	SNPs	Deletions	Insertions	Uncovered	Substitutions (Including Stop Codons)
'2024-05-22	'10517-03	'illumina	'10517-03_illumina	'2509431	'2490790	'99.26	'4411532	'65.61	'4392308	'1.00	'65.58	'125.83	'129	'4322912	'0.98	'65.41	'127.64	'129	'545	'220	'53	'19224	'300
'2024-05-22	'11096-03	'illumina	'11096-03_illumina	'1823704	'1807550	'99.11	'4411532	'65.61	'4391302	'1.00	'65.57	'91.40	'93	'4316772	'0.98	'65.38	'92.80	'93	'549	'253	'67	'20230	'303
'2024-05-22	'11097-03	'illumina	'11097-03_illumina	'2927362	'2903114	'99.17	'4411532	'65.61	'4393861	'1.00	'65.58	'142.46	'146	'4343505	'0.98	'65.44	'143.98	'147	'1010	'279	'122	'17671	'502
'2024-05-22	'11818-03	'illumina	'11818-03_illumina	'1217739	'1207552	'99.16	'4411532	'65.61	'4372815	'0.99	'65.55	'61.32	'61	'4262218	'0.97	'65.31	'62.65	'62	'914	'221	'155	'38717	'458
'2024-05-22	'11821-03	'illumina	'11821-03_illumina	'2205544	'2183658	'99.01	'4411532	'65.61	'4380116	'0.99	'65.56	'110.90	'113	'4318666	'0.98	'65.39	'112.32	'114	'2209	'663	'344	'31416	'1193
'2024-05-22	'11822-03	'illumina	'11822-03_illumina	'1785165	'1767550	'99.01	'4411532	'65.61	'4380455	'0.99	'65.59	'89.10	'91	'4301366	'0.98	'65.39	'90.55	'91	'948	'244	'153	'31077	'492
'2024-05-22	'12655-03	'illumina	'12655-03_illumina	'2294395	'2284164	'99.55	'4411532	'65.61	'4366750	'0.99	'65.58	'118.89	'121	'4329010	'0.98	'65.49	'119.86	'121	'860	'548	'107	'44782	'426
'2024-05-22	'12657-03	'illumina	'12657-03_illumina	'1947169	'1929629	'99.10	'4411532	'65.61	'4391636	'1.00	'65.59	'94.68	'97	'4325412	'0.98	'65.41	'95.97	'97	'985	'240	'145	'19896	'509
'2024-05-22	'12658-03	'illumina	'12658-03_illumina	'1705934	'1695826	'99.41	'4411532	'65.61	'4369558	'0.99	'65.58	'99.84	'101	'4331248	'0.98	'65.49	'100.67	'101	'1503	'589	'290	'41974	'773
'2024-05-22	'1322-04	'illumina	'1322-04_illumina	'2179889	'2166870	'99.40	'4411532	'65.61	'4376221	'0.99	'65.58	'110.58	'113	'4313269	'0.98	'65.41	'112.05	'113	'557	'233	'91	'35311	'297
'2024-05-22	'1324-04	'illumina	'1324-04_illumina	'2761133	'2745427	'99.43	'4411532	'65.61	'4386279	'0.99	'65.58	'136.98	'141	'4334533	'0.98	'65.44	'138.48	'141	'828	'133	'87	'25253	'428
'2024-05-22	'1327-04	'illumina	'1327-04_illumina	'1291239	'1275916	'98.81	'4411532	'65.61	'4368641	'0.99	'65.54	'64.59	'66	'4261104	'0.97	'65.34	'66.04	'66	'2221	'414	'256	'42891	'1204
'2024-05-22	'1597-04	'illumina	'1597-04_illumina	'1716917	'1705427	'99.33	'4411532	'65.61	'4369277	'0.99	'65.57	'87.13	'89	'4297065	'0.97	'65.37	'88.45	'89	'859	'427	'171	'42255	'453
'2024-05-22	'1599-04	'illumina	'1599-04_illumina	'3035794	'3009801	'99.14	'4411532	'65.61	'4384788	'0.99	'65.60	'150.95	'154	'4333524	'0.98	'65.46	'152.60	'155	'963	'348	'173	'26744	'496
'2024-05-22	'1779-04	'illumina	'1779-04_illumina	'1703446	'1687346	'99.05	'4411532	'65.61	'4391472	'1.00	'65.58	'83.11	'85	'4312865	'0.98	'65.39	'84.44	'85	'552	'174	'73	'20060	'304
'2024-05-22	'1780-04	'illumina	'1780-04_illumina	'1310824	'1299605	'99.14	'4411532	'65.61	'4385572	'0.99	'65.56	'64.36	'65	'4288328	'0.97	'65.32	'65.60	'66	'535	'183	'110	'25960	'293
'2024-05-22	'1783-04	'illumina	'1783-04_illumina	'1728305	'1706829	'98.76	'4411532	'65.61	'4389621	'1.00	'65.57	'84.02	'85	'4312043	'0.98	'65.38	'85.36	'86	'970	'274	'112	'21911	'487
'2024-05-22	'2509-04	'illumina	'2509-04_illumina	'1682495	'1674087	'99.50	'4411532	'65.61	'4380451	'0.99	'65.57	'99.52	'101	'4336948	'0.98	'65.47	'100.44	'101	'951	'571	'194	'31081	'503
'2024-05-22	'3154-04	'illumina	'3154-04_illumina	'2667188	'2639376	'98.96	'4411532	'65.61	'4382200	'0.99	'65.59	'130.72	'134	'4325828	'0.98	'65.44	'132.28	'135	'960	'343	'125	'29332	'494
'2024-05-22	'3156-04	'illumina	'3156-04_illumina	'1511112	'1497263	'99.08	'4411532	'65.61	'4375169	'0.99	'65.57	'74.95	'76	'4279926	'0.97	'65.34	'76.40	'77	'960	'329	'120	'36363	'491
'2024-05-22	'3158-04	'illumina	'3158-04_illumina	'1707041	'1695432	'99.32	'4411532	'65.61	'4389575	'1.00	'65.57	'86.22	'88	'4315850	'0.98	'65.37	'87.52	'89	'536	'233	'92	'21957	'298
'2024-05-22	'3160-04	'illumina	'3160-04_illumina	'2300674	'2276012	'98.93	'4411532	'65.61	'4358035	'0.99	'65.57	'113.17	'116	'4304146	'0.98	'65.42	'114.45	'116	'2255	'438	'265	'53497	'1222
'2024-05-22	'3491-04	'illumina	'3491-04_illumina	'1610964	'1588083	'98.58	'4411532	'65.61	'4377705	'0.99	'65.55	'80.49	'82	'4267342	'0.97	'65.35	'82.34	'82	'2104	'325	'261	'33827	'1142
